PaCMAP_X,PaCMAP_Y
6.5980034,3.7261078
4.4963694,4.263162
0.05744247,3.8407767
1.2802616,3.6675246
0.5073415,7.680143
0.5981384,6.5796447
4.1681485,5.270973
2.5609598,3.83543
3.5259578,3.4671495
2.8584576,4.150467
4.180298,3.8134782
3.9286594,4.766441
4.6107674,3.2829597
7.6857734,-1.3307096
6.5844073,1.9610542
4.5126324,4.060642
5.0748453,6.0764437
4.088032,6.3876095
6.9445267,4.9507546
3.7850513,5.0709114
5.5814795,5.93631
4.6038036,6.903572
9.693003,1.3936718
7.6339374,2.4720755
6.406133,2.737716
6.8572693,2.704745
6.0197835,2.2916307
9.348363,0.8292993
4.5233884,4.27608
7.282458,1.9500855
6.5599527,0.30601692
6.6645546,0.029870128
5.96748,0.0059858784
6.528839,2.3541923
6.7556677,2.3036306
5.241698,2.5030148
8.54097,1.4779122
9.349816,0.9618349
9.281126,-0.71373796
10.036987,-1.8862263
9.957444,-1.1994909
4.311887,-0.5678477
4.9410834,-0.693303
6.174498,-0.26068565
5.072511,-0.5274181
4.8211093,3.2624247
6.7454705,4.596564
5.871318,2.913383
6.5549593,0.93209046
6.6399307,2.320371
8.863986,-1.6443567
8.230298,-2.9711351
8.438386,-1.3624388
8.607073,-0.948782
6.9396415,-3.1197474
7.828928,-2.9131935
7.6765513,-2.6725452
5.9717355,-3.2070005
5.4404483,-3.2812681
9.270048,-2.3584318
9.088012,-2.1949809
6.8525934,-3.3343377
9.2605,-2.256149
7.0084825,-3.7265031
2.1217895,-7.3945446
3.178138,-6.1902537
0.62372607,-5.0597773
0.6615074,-4.2340307
6.4508743,-5.477991
5.0331554,-6.1388283
10.767395,-1.7812955
9.90661,-3.7090914
6.5771637,-4.3851542
6.817621,-3.4146268
7.353846,-3.0498893
9.215967,-2.3302076
8.449466,-2.7153325
8.550913,-1.2118444
7.8440924,-3.2857912
7.401198,-4.509459
2.5968335,-3.9890006
-0.74486053,-3.8551223
0.035197344,-4.385714
-0.22663157,-4.5279636
5.033834,-3.2500217
4.256607,-3.5327284
5.6797824,-3.2304788
7.784286,-1.0911795
1.1389669,-5.587597
5.018943,-2.9254208
6.3862677,-3.9111273
5.00634,-3.0098221
5.1554394,-2.7792242
4.9979196,-2.5842745
7.7842336,-3.1856756
7.269414,-2.2378068
9.057455,-1.17352
7.037531,-1.9412854
0.13255425,-3.836217
9.307252,-0.6155837
10.514841,2.680462
9.820731,3.4973245
-2.4313414,-3.2691252
10.251663,3.7830212
10.592702,4.2338586
10.287618,4.9639397
10.11117,5.7066536
10.948255,3.78416
10.366314,4.2518015
9.216632,-1.3346486
7.925358,-1.5761015
4.7528567,-2.5904014
7.8609157,0.08153137
10.765711,3.5576935
10.672573,4.230649
10.71312,4.2341533
10.84841,4.1997933
9.896615,4.638636
9.749371,5.000899
-7.111871,1.490609
2.7849689,0.63863564
5.0370574,3.2164898
7.0556927,3.5259275
10.563777,4.3558097
9.850552,5.4068637
8.923577,4.9003253
9.573908,-0.96878636
8.873254,-0.5873576
10.735208,0.32401523
8.651618,0.7890935
4.3873734,-0.9335516
4.400491,-0.9584828
2.6781175,-0.19000587
3.9795282,-1.0351645
9.223818,-0.09813519
8.557908,2.484756
9.721317,5.4855223
9.501424,2.1718462
9.633965,5.7983
10.178328,5.9142265
10.014105,5.66513
9.963863,6.0386276
11.080646,3.657481
11.27122,3.1505382
11.1807575,3.0118694
11.051279,3.5967004
10.845142,3.832694
11.096121,2.8472693
10.6250925,5.097746
-8.894418,1.5564725
10.045025,5.734334
10.115571,5.971121
10.515895,5.33713
10.532911,5.282401
-8.806946,1.4670331
10.134233,5.9885516
7.6262956,1.1046019
9.374032,-1.6639842
6.4506197,-2.1228693
8.697293,-2.5422535
9.217261,-2.4354882
4.051746,-1.4057531
5.2250724,-0.08269821
9.685746,1.0876762
5.296019,-0.02517638
-1.5963908,4.141121
5.6464977,4.9660726
5.2282286,4.557881
5.904595,5.344275
-0.8684099,4.364427
5.9920645,5.114944
7.194116,5.309521
-4.9635115,1.360939
-3.514835,3.726348
-3.3928976,3.699079
-4.496472,3.804816
6.8596835,1.0284024
-3.5126452,-1.9343563
-5.186673,-2.1564593
-5.5793314,-2.2677014
-5.4280205,-2.2711492
-4.020294,-4.585359
-5.4113555,-2.6490078
-5.577833,-3.1375055
-5.905193,-2.3201509
-5.4972277,-0.955036
-5.3256564,-0.9854775
-5.3760605,-1.9445573
10.258496,3.990365
9.685986,3.9269512
-3.7505622,-1.5574609
-4.4633965,-2.1163495
-1.0569702,-4.224241
-0.24079454,-4.121519
-0.92551357,-4.552678
-2.687747,-2.070929
-4.1760044,-2.2392757
8.864755,3.7817166
1.5073358,1.8876714
1.2370378,-0.69086367
-2.6503258,-1.8650492
2.7228713,-1.8227464
6.6439843,3.7170656
0.62411505,0.7864729
9.231307,4.4776835
9.926049,4.0322895
10.549038,3.2684975
10.618159,4.3132124
10.639852,4.4640265
-6.193384,-0.4057319
10.774715,4.1733537
10.860638,3.9182265
10.166785,2.263504
8.799857,2.5482633
9.451462,2.3118455
11.04481,1.9379874
11.163083,2.246698
11.127014,3.3928645
11.144187,2.9480207
11.082127,3.2548735
10.84755,4.2580767
10.96275,3.944172
10.033834,5.6209784
10.423847,5.616383
10.161832,5.7872024
-8.599179,2.0380278
10.706055,2.7692828
5.299837,3.9688418
9.298486,1.7210563
10.625054,1.049311
9.881038,4.4816713
10.365718,2.150026
10.374562,0.90799785
10.4002495,-0.92771834
10.77816,1.1214443
10.238443,2.1882575
10.695504,4.2099557
-8.851077,0.83641243
10.112808,5.6544046
10.029395,5.685372
8.62194,5.0464153
10.396449,5.3351264
8.54442,4.901398
5.3792067,2.1529927
7.822982,5.0536656
9.576997,5.0596323
9.812383,5.5929136
-7.7997584,2.3758068
-9.098775,2.362975
8.967519,6.116142
8.7491,6.0623717
-7.844458,2.2361567
2.15433,-0.4472973
6.629116,-3.7212062
6.283488,-4.1581187
