PaCMAP_X,PaCMAP_Y,Label
-1.6829312,-8.246065,0
-4.1636715,-6.356717,0
-1.591049,-7.0578012,0
0.21193694,-7.979681,0
6.7198777,-5.6354456,0
-0.29639623,-6.0553293,0
-3.566708,-6.2799654,0
-3.1518567,-6.422068,0
-1.3348976,-6.7952027,0
0.77643454,-5.870434,0
2.1404054,-6.067701,0
3.0363796,-4.5485864,0
2.4445767,-6.0845594,0
1.4724698,-5.278922,0
1.6566573,-6.291004,0
1.2924652,-7.686864,0
1.4657495,-6.7722282,0
2.2092063,-6.4305215,0
2.9996574,-4.465457,0
1.2653017,-5.4901786,0
0.7035191,-6.442658,0
1.5862788,-5.983954,0
1.4687973,-5.211561,0
-1.7106699,-6.7440486,0
2.0318491,-6.779677,0
-4.0160804,-5.1450043,0
-6.991681,-5.526001,0
-1.74883,-8.478202,0
-1.0384524,-8.234535,0
0.34749094,-6.6711726,0
-0.6299615,-8.189778,0
-2.3526726,-6.200338,0
-1.5022945,-6.662931,0
10.784674,-1.7127157,0
1.6900353,-6.026231,0
3.2669113,-4.87044,0
5.60721,4.26058,3
0.8729571,-8.465651,0
0.052415997,-8.613869,0
1.2423348,-7.7349944,0
3.5155735,-5.779836,0
-0.17105584,-7.65752,0
0.8912305,-7.3822904,0
1.4761972,-7.742995,0
2.1259105,-6.876761,0
-0.47109726,-7.2083597,0
2.4243126,-4.7834783,0
3.9920256,-4.161773,0
3.2320857,-4.775204,0
5.0337296,-3.7137225,0
3.285513,-5.9581537,0
2.4411535,-7.404488,0
3.9818802,-4.29409,0
0.7328943,1.7838386,1
0.6519839,2.4111218,1
1.3701334,-0.69181025,1
1.3517191,-4.125082,0
6.252168,-2.112235,0
-1.4478599,8.969488,1
-1.4478878,8.184332,1
1.1967181,4.9784155,1
-3.4561055,8.504773,1
-2.7696934,8.550427,1
0.46074727,7.2068477,1
6.5980034,3.7261078,3
4.4963694,4.263162,3
0.05744247,3.8407767,1
1.2802616,3.6675246,1
0.5073415,7.680143,1
0.5981384,6.5796447,1
4.1681485,5.270973,3
2.5609598,3.83543,1
3.5259578,3.4671495,3
2.8584576,4.150467,1
4.180298,3.8134782,3
3.9286594,4.766441,3
4.6107674,3.2829597,3
7.6857734,-1.3307096,0
6.5844073,1.9610542,3
4.5126324,4.060642,3
5.0748453,6.0764437,3
4.088032,6.3876095,1
6.9445267,4.9507546,3
3.7850513,5.0709114,1
5.5814795,5.93631,3
4.6038036,6.903572,1
9.693003,1.3936718,3
7.6339374,2.4720755,3
6.406133,2.737716,3
6.8572693,2.704745,3
6.0197835,2.2916307,3
9.348363,0.8292993,3
4.5233884,4.27608,3
7.282458,1.9500855,3
6.5599527,0.30601692,3
6.6645546,0.029870128,3
5.96748,0.0059858784,3
6.528839,2.3541923,3
6.7556677,2.3036306,3
